Permutation_Index,Theta_pp
769,-1.5365853253658315
770,-1.3061688375929645
771,-1.2556570725199154
772,-0.9372289105132038
773,-1.2222347804822746
774,-0.5493355401591297
775,-0.4623044309755896
776,-0.4747715593476337
777,-0.9246888211834772
778,-0.4356405252764815
779,-0.9757850306447333
780,-0.7186632562774883
781,-0.8754759468582938
782,-0.8316708273810779
783,-1.034425778245795
784,-0.2641825603996595
785,-1.2121200262329246
786,-0.4186652986728491
787,-1.053077194771484
788,-0.4984117558630423
789,-1.0059230627422926
790,-0.21791436033047734
791,-0.9040591395240055
792,-0.2974823298193523
793,-0.47648034370521875
794,-0.2200544072392994
795,-0.9549495602941123
796,-0.8033305640787769
797,-0.5726777486226063
798,-1.0903993870202187
799,-0.9201695416568432
800,-0.7323862552718301
801,-0.8115986490535413
802,-1.4057023407651312
803,-0.8547611464410697
804,-0.23034284720219797
805,-0.8300113461435313
806,-0.5287072595339649
807,-0.7738679070008504
808,-1.1463838009800893
809,-0.7655841403871428
810,-0.4974350202245533
811,-0.8561574726593992
812,-0.9067236756448221
813,-1.0844952079667658
814,-1.1174069255099748
815,-0.3878195586801918
816,-0.4157578272051517
817,-0.4820239232215189
818,-0.7243466147975722
819,-1.0442483887853116
820,-0.7270941282707634
821,-0.41275878266792754
822,-0.744469920757475
823,-0.6558434183870093
824,-1.0261668608099128
825,-0.3977236841612151
826,-0.9984122631876872
827,-0.8236504546879062
828,-0.4440611111892148
829,-1.2169126250253623
830,-0.3886336808157136
831,-1.18007388096368
832,-0.7303251690541052
833,-0.8493784392301673
834,-0.951098122801852
835,-0.4412337799903963
836,-0.30562735271307834
837,-0.919801459372956
838,-0.634066921296409
839,-0.8361736800450397
840,-1.397210626113212
841,-0.6049136236729026
842,-0.8754661289457455
843,-1.1194888663128595
844,-0.27694395695444074
845,-0.8645513061880219
846,-0.2830231429856777
847,-0.8586817500631604
848,-0.9577185227377586
849,-1.368885389390364
850,-0.8502888495585077
851,-0.7524168607306471
852,-0.6408184139508802
853,-1.2579495343603946
854,-0.1877853022295966
855,-0.6845045204435652
856,-1.1257145264844481
857,-0.5779276082209027
858,-0.2622974321718663
859,-1.5203390309095213
860,-0.6165180000861565
861,-0.6702628804462811
862,-0.6710282712036467
863,-0.916226722994802
864,-0.07409877859330322
865,-1.116239694069764
866,-0.80917157082315
867,-0.9731813484953014
868,-1.1470468798159197
869,-0.8136879638034161
870,-1.1837121069992125
871,-0.8384894972278462
872,-0.9847724069980327
873,-0.8373192982769444
874,-1.1842569328555124
875,-0.8148971028375118
876,-0.6276920165979343
877,-1.0589815311667554
878,-0.7965272425419747
879,-0.6508001880246219
880,-0.4292012788339127
881,-0.7173594324584525
882,-1.03310868404644
883,-1.0770685786824026
884,-1.0725496921388469
885,-0.6473475541914068
886,-0.6422019878270695
887,-1.377401893615963
888,-1.2012414015173345
889,-0.6365135678440981
890,-0.8900016618776877
891,-0.8322349236336695
892,-0.4441518656674094
893,-0.9091446112513206
894,-1.127145290871078
895,-0.6847079810284602
896,-1.2071605709197983
897,-1.180546391369186
898,-0.8141795831849051
899,-0.7978602035490112
900,-0.9418625385589935
901,-0.4479880867221319
902,-0.0028412418175781627
903,-0.3519654643600226
904,-0.9783829037987564
905,-0.5073356662396309
906,-0.6540164491585254
907,-0.9274672792945702
908,-0.7939253852148599
909,-1.5733332821363597
910,-1.2532661628922006
911,-0.8943733674041445
912,-0.4290839368458634
913,-0.5213269420098064
914,-0.7364539102223588
915,-0.9352081754884596
916,-0.9760106835451137
917,-0.8241816613208025
918,-0.8641523530647803
919,-0.599067385888914
920,-0.7233694653205167
921,-0.5091125924028802
922,-0.8459252803763202
923,-0.9056570844337383
924,-0.9395833077597562
925,-0.1472446962676569
926,-0.6501100892043229
927,-0.7889282174531864
928,-0.40380803490282746
929,-0.21928410188933822
930,-0.014387820890820465
931,-1.003788476749448
932,-1.0195833406010566
933,-0.9499294720446484
934,-0.5611719447293525
935,-0.7120929521820559
936,-0.31902147794341534
937,-0.7976850505550488
938,-0.7943527033142137
939,-1.1607078997800755
940,-0.44602089591159416
941,-0.9284434902395923
942,-1.2990394221384358
943,-0.6510175245104423
944,-0.5847896799480082
945,-0.2583521363455488
946,-0.32647269745470925
947,-0.4193669242230271
948,-0.3705827827980658
949,-0.6933870161338225
950,-1.122170161319146
951,-0.32276135658296135
952,-0.6479385129506846
953,-0.6649347245488872
954,-0.9340142238767903
955,-0.5703405663039497
956,-0.45946044796518004
957,-0.29665143855800924
958,-0.892122951789546
959,-0.7268737132102012
960,-0.491281794178447
961,-1.4544862065146633
962,-1.5791477384045671
963,-0.45269905011598616
964,-0.4208738064097729
965,-1.0549392281560521
966,-1.238140794936488
967,-0.5975596616497247
968,-0.29026974043429105
969,-0.5378288887517574
970,-1.4486328915645985
971,-0.8013416966880316
972,-0.9287590986573492
973,-1.0405330069591272
974,-0.7806235982151182
975,-0.9651195509529362
976,-0.719971976688673
977,-0.7448708749471648
978,-0.37465329424331756
979,-0.6223923251164204
980,-1.3059684055534526
981,-0.24642851391925474
982,-1.2156024277479558
983,-0.9766398828692793
984,-0.4893905890256107
985,-0.43611622434957703
986,-0.7746587473755719
987,-0.48785050053946866
988,-1.2542049509382138
989,-0.5799905730144989
990,-0.5889490523536124
991,-0.6603283339390957
992,-1.1512529154241498
993,-0.6858163697644034
994,-0.7228233641032733
995,0.3330826668462677
996,-1.3214266551553209
997,-0.9850450444695054
998,-0.4347785294809383
999,-0.48876310826982944
